window,name,mape,rmse
22,decision tree: pagerank + emb,312744884.34972835,357.23445709511975
22,decision tree: history,473832763.05259794,367.5362622435075
22,decision tree: pagerank,347906331.0686161,367.76506341790946
22,decision tree: emb,314462148.18424195,352.25481378713187
22,decision tree: baseline,356886879.73173696,354.95330287692155
23,persistence,360614051.50980693,339.2890238239705
23,mean,669384492.2424152,230.65084979760698
23,linear regression: history + pagerank + emb,3977206134.480201,5367.4161474351795
23,linear regression: history + pagerank,4039410506.5585604,5385.731633175331
23,linear regression: history + emb,4060015927.4434447,5365.260994680146
23,linear regression: pagerank + emb,1219517589.1005216,380.13722662810756
23,linear regression: history,4060015927.4434447,5365.260994680146
23,linear regression: pagerank,1219663007.0685213,381.5340369856821
23,linear regression: emb,1202598136.595594,378.6692493631969
23,linear regression: baseline,1203060489.8849452,380.06772579120934
23,poisson regression emb,55550451.62096992,753.8055751325489
23,poisson regression pagerank + emb,100.0,754.1329025066759
23,decision tree: history + pagerank + emb,531103238.6857274,575.6144998817431
23,decision tree: history + pagerank,714909219.0891545,549.1813299571205
23,decision tree: history + emb,696368087.2092452,502.1322803474464
23,decision tree: pagerank + emb,1006220659.7363366,489.6855922560096
23,decision tree: history,505740745.7874787,387.83849810133387
23,decision tree: pagerank,526612268.03272665,493.4231665781074
23,decision tree: emb,570489190.8717605,387.9355103302481
23,decision tree: baseline,711361622.9649725,392.2190435938155
24,persistence,356833548.7700231,125.15826246019564
24,mean,649702968.6226972,173.44826451551876
24,linear regression: history + pagerank + emb,1893194644.7277625,443.7798388008145
24,linear regression: history + pagerank,1904994093.66007,447.7506584616641
24,linear regression: history + emb,1903127706.5394516,446.85368872524947
24,linear regression: pagerank + emb,625909409.6221865,110.32727435053813
24,linear regression: history,1903127706.5394516,446.85368872524947
24,linear regression: pagerank,625213313.46488,110.32451901304027
24,linear regression: emb,620633104.6696123,110.59162668818229
24,linear regression: baseline,619879182.3726954,110.58849599502787
24,poisson regression emb,56169078.05497766,734.814990544721
24,poisson regression pagerank + emb,100.0,735.1412184516386
24,decision tree: history + pagerank + emb,372322153.208461,135.13064661486405
24,decision tree: history + pagerank,363205327.698765,141.05649873121286
24,decision tree: history + emb,422356743.3846047,149.18215919987787
24,decision tree: pagerank + emb,366851881.91398776,148.2705524732175
24,decision tree: history,432591260.71854305,152.4211775064004
24,decision tree: pagerank,396876015.9244486,153.15253259050212
24,decision tree: emb,321280312.0379368,152.54072957911683
